reseña_id,libro_id,cliente_id,calificacion,comentario,fecha_reseña
514,522-0-47-277901-2,561,3,"Pasable, lectura ligera.",2024-09-12
515,200-2-55-693186-7,760,5,"Una lectura imprescindible, muy bien escrito.",2025-06-22
516,778-8-82-603174-5,480,4,"Cumple lo que promete, recomendable.",2020-04-28
517,272-2-37-369504-8,545,4,Interesante y bien estructurado.,2025-03-29
518,782-3-12-995704-7,747,1,De los peores libros que he leído.,2020-04-21
519,262-4-46-704622-7,639,2,"No lo recomendaría, bastante predecible.",2022-01-14
520,561-9-31-837455-7,467,4,"Buena historia, bien desarrollada.",2022-05-16
521,884-9-74-163228-4,535,3,"Pasable, lectura ligera.",2023-02-13
522,312-9-50-488819-2,459,1,De los peores libros que he leído.,2020-03-20
523,772-3-55-172748-8,254,3,"Regular, algunas partes aburridas.",2020-10-08
524,021-9-46-723248-4,232,2,No me convenció la trama.,2020-03-24
525,527-3-53-642357-4,445,2,"No lo recomendaría, bastante predecible.",2021-04-13
526,304-2-14-538233-4,424,4,"Buena historia, bien desarrollada.",2024-02-19
527,017-3-16-715605-4,318,2,Poco claro en algunos capítulos.,2021-03-18
528,712-3-63-061937-4,227,3,Tiene puntos interesantes pero no destaca.,2024-03-17
529,464-8-20-987284-2,404,1,No vale la pena leerlo.,2022-09-21
530,979-9-07-075504-0,509,5,"Excelente libro, lo recomiendo totalmente.",2020-06-17
531,869-6-11-084039-5,746,4,"Buena historia, bien desarrollada.",2020-10-09
532,671-9-79-697816-8,550,1,De los peores libros que he leído.,2025-06-30
533,622-0-72-239594-7,644,3,"Pasable, lectura ligera.",2021-09-18
534,858-4-77-023928-7,381,5,"Magnífico, superó mis expectativas.",2025-06-03
535,687-2-61-173702-6,647,5,"Magnífico, superó mis expectativas.",2023-08-13
536,350-2-76-749064-5,289,3,"Pasable, lectura ligera.",2022-09-25
537,601-8-11-703280-1,784,5,De lo mejor que he leído últimamente.,2023-10-09
538,428-4-34-795527-8,707,3,"Regular, algunas partes aburridas.",2025-06-20
539,687-8-51-856905-0,564,3,"Correcto, aunque esperaba más profundidad.",2023-02-19
540,118-0-82-938074-9,483,5,"Excelente libro, lo recomiendo totalmente.",2025-10-17
541,991-5-30-445002-8,288,2,"No lo recomendaría, bastante predecible.",2025-06-24
542,730-8-72-403648-4,447,4,"Cumple lo que promete, recomendable.",2025-01-09
543,906-2-34-456557-8,296,3,"Regular, algunas partes aburridas.",2024-07-14
544,129-2-36-139123-4,514,5,"Magnífico, superó mis expectativas.",2025-04-22
545,437-8-14-119587-6,744,3,"Pasable, lectura ligera.",2023-09-16
546,247-6-86-707167-1,665,3,"Correcto, aunque esperaba más profundidad.",2022-10-26
547,465-4-26-836843-1,324,2,Poco claro en algunos capítulos.,2021-05-04
548,135-2-42-816945-6,390,2,No me convenció la trama.,2025-06-06
549,132-4-52-756719-8,738,5,"Magnífico, superó mis expectativas.",2021-02-15
550,307-9-68-590964-6,504,2,Poco claro en algunos capítulos.,2022-01-04
551,235-7-37-421420-4,215,5,"Una lectura imprescindible, muy bien escrito.",2023-01-28
552,114-1-52-085076-4,256,5,"Magnífico, superó mis expectativas.",2021-06-01
553,861-6-90-085347-3,306,1,No vale la pena leerlo.,2023-03-10
554,470-9-31-957996-7,691,4,"Buena historia, bien desarrollada.",2022-01-25
555,268-3-15-893571-4,459,4,"Muy bueno, aunque esperaba un poco más.",2020-09-24
556,522-6-41-246552-6,704,1,No vale la pena leerlo.,2020-08-07
557,169-2-32-737989-2,353,5,"Magnífico, superó mis expectativas.",2020-12-14
558,407-7-51-306109-1,322,5,De lo mejor que he leído últimamente.,2022-07-13
559,841-0-69-777532-7,590,4,"Cumple lo que promete, recomendable.",2023-05-02
560,335-9-69-007055-6,640,3,Tiene puntos interesantes pero no destaca.,2020-09-03
561,629-2-87-504532-1,302,2,No me convenció la trama.,2022-12-19
562,158-3-50-344694-4,361,2,No me convenció la trama.,2020-11-03
563,356-7-07-897755-1,203,4,"Cumple lo que promete, recomendable.",2025-04-08
564,295-9-86-777055-8,234,2,Poco claro en algunos capítulos.,2023-03-04
565,392-8-40-347696-3,273,2,Poco claro en algunos capítulos.,2022-03-21
566,961-2-65-088997-6,318,5,"Una lectura imprescindible, muy bien escrito.",2021-09-02
567,517-5-73-518517-1,346,1,"Muy malo, una pérdida de tiempo.",2021-11-10
568,791-4-65-951120-2,783,3,"Pasable, lectura ligera.",2021-05-24
569,531-1-69-515223-9,512,4,"Buena historia, bien desarrollada.",2025-08-11
570,172-9-52-186678-8,706,4,"Muy bueno, aunque esperaba un poco más.",2020-06-12
571,956-5-15-822309-7,531,5,"Magnífico, superó mis expectativas.",2020-04-15
572,184-8-19-737418-9,435,5,"Simplemente perfecto, gran autor.",2020-03-25
573,249-6-01-709217-2,791,1,"No me gustó nada, mal escrito.",2025-04-11
574,873-3-58-058299-5,653,3,"Regular, algunas partes aburridas.",2024-11-20
575,704-1-90-241617-2,294,4,"Buena historia, bien desarrollada.",2024-07-30
576,394-4-28-054009-2,529,1,"No me gustó nada, mal escrito.",2023-09-12
577,664-8-14-313740-1,708,3,"Pasable, lectura ligera.",2020-05-30
578,602-3-52-179211-1,291,3,"Correcto, aunque esperaba más profundidad.",2023-08-17
579,699-6-48-997184-6,614,5,"Excelente libro, lo recomiendo totalmente.",2025-03-07
580,962-5-21-653897-3,256,2,"Demasiado simple, le falta desarrollo.",2024-01-21
581,586-2-34-223422-3,653,1,"No me gustó nada, mal escrito.",2022-12-29
582,481-8-73-178529-7,335,3,"Pasable, lectura ligera.",2025-06-08
583,983-5-84-461777-7,230,5,"Una lectura imprescindible, muy bien escrito.",2021-10-10
584,620-6-37-035595-3,765,1,No vale la pena leerlo.,2024-07-29
585,484-5-39-862895-7,431,1,De los peores libros que he leído.,2021-04-26
586,860-3-72-186003-2,711,3,Tiene puntos interesantes pero no destaca.,2023-01-24
587,453-4-74-911608-2,695,4,Interesante y bien estructurado.,2025-02-13
588,335-7-17-685384-6,349,4,Interesante y bien estructurado.,2025-09-12
589,527-8-10-558000-9,272,3,"Pasable, lectura ligera.",2023-10-24
590,507-5-76-449639-5,474,1,Confuso y aburrido.,2023-05-07
591,207-2-79-999499-8,794,4,Interesante y bien estructurado.,2025-01-03
592,142-0-37-569414-4,696,3,"Correcto, aunque esperaba más profundidad.",2024-03-25
593,207-8-18-741465-9,530,2,No me convenció la trama.,2024-04-17
594,333-1-88-384561-5,621,1,Confuso y aburrido.,2025-04-21
595,976-7-62-135456-1,596,2,"No lo recomendaría, bastante predecible.",2020-05-31
596,661-7-71-824989-4,715,5,"Magnífico, superó mis expectativas.",2021-02-15
597,426-2-67-188926-1,303,5,De lo mejor que he leído últimamente.,2020-03-03
598,384-5-72-026656-8,620,2,"Flojo, esperaba más del autor.",2025-04-07
599,443-6-43-644432-7,547,5,De lo mejor que he leído últimamente.,2020-11-24
600,788-6-17-327760-8,747,4,"Buena historia, bien desarrollada.",2025-06-21
601,234-1-77-921170-8,237,5,"Excelente libro, lo recomiendo totalmente.",2022-08-19
602,849-5-91-260920-5,433,1,De los peores libros que he leído.,2021-02-07
603,900-4-04-769210-6,655,2,Poco claro en algunos capítulos.,2020-04-28
604,820-8-29-737489-3,533,1,Confuso y aburrido.,2024-01-08
605,392-0-31-867674-2,642,2,No me convenció la trama.,2024-08-14
606,136-7-89-537928-4,385,2,No me convenció la trama.,2020-11-19
607,625-9-72-237091-3,592,5,"Una lectura imprescindible, muy bien escrito.",2025-07-31
608,456-0-69-559915-0,347,2,"No lo recomendaría, bastante predecible.",2022-11-06
609,812-3-68-866088-4,462,1,De los peores libros que he leído.,2023-03-24
610,962-9-42-649770-9,362,1,De los peores libros que he leído.,2023-11-16
611,029-1-43-942074-7,507,4,"Buena historia, bien desarrollada.",2025-02-14
612,217-9-59-282233-3,404,4,"Cumple lo que promete, recomendable.",2021-03-12
613,641-8-04-460819-1,591,5,"Magnífico, superó mis expectativas.",2023-04-26
614,816-1-15-566134-7,223,4,"Buena historia, bien desarrollada.",2020-02-03
615,136-7-89-537928-4,251,5,De lo mejor que he leído últimamente.,2023-03-18
616,206-3-17-552977-4,561,2,No me convenció la trama.,2022-10-23
617,203-1-36-955286-0,300,1,Confuso y aburrido.,2024-12-10
618,845-7-62-055543-4,794,3,"Regular, algunas partes aburridas.",2021-01-04
619,208-0-24-104150-3,535,4,Interesante y bien estructurado.,2022-04-02
620,759-5-00-260151-3,753,3,Tiene puntos interesantes pero no destaca.,2025-08-17
621,374-8-52-512258-2,369,3,"Pasable, lectura ligera.",2023-04-23
622,027-2-92-942863-4,318,4,"Muy bueno, aunque esperaba un poco más.",2021-07-30
623,037-2-71-862447-3,607,5,"Magnífico, superó mis expectativas.",2021-01-04
624,989-5-11-139977-5,215,3,Tiene puntos interesantes pero no destaca.,2021-05-21
625,602-3-52-179211-1,578,3,Tiene puntos interesantes pero no destaca.,2024-04-09
626,776-0-12-316257-5,311,2,"No lo recomendaría, bastante predecible.",2020-04-12
627,293-8-62-918793-3,536,5,"Una lectura imprescindible, muy bien escrito.",2020-09-15
628,834-1-08-075095-2,510,4,"Muy bueno, aunque esperaba un poco más.",2021-07-26
629,255-9-05-616556-3,239,3,"Pasable, lectura ligera.",2021-04-20
630,483-7-44-171581-3,441,5,"Una lectura imprescindible, muy bien escrito.",2024-05-10
631,983-2-43-595133-3,580,5,De lo mejor que he leído últimamente.,2021-09-24
632,211-1-52-927099-2,302,4,"Buen libro, aunque con algunos altibajos.",2024-07-29
633,506-8-09-838319-6,234,3,"Regular, algunas partes aburridas.",2024-12-21
634,069-0-43-987888-4,442,3,"Está bien, pero no me atrapó del todo.",2024-02-13
635,550-2-62-599143-5,568,1,De los peores libros que he leído.,2023-02-04
636,554-5-14-609193-2,326,4,"Muy bueno, aunque esperaba un poco más.",2022-05-18
637,275-9-65-598769-0,222,1,Confuso y aburrido.,2022-09-24
638,991-6-09-114131-1,779,2,"Flojo, esperaba más del autor.",2022-04-28
639,813-3-52-954005-3,422,2,Poco claro en algunos capítulos.,2021-08-27
640,204-2-45-797273-6,203,3,"Regular, algunas partes aburridas.",2021-06-16
641,972-4-81-870633-6,457,2,"Flojo, esperaba más del autor.",2020-04-15
642,579-5-51-562392-3,216,3,"Regular, algunas partes aburridas.",2023-08-19
643,965-6-52-341389-9,379,3,"Está bien, pero no me atrapó del todo.",2021-06-03
644,781-2-07-962480-2,739,1,"Muy malo, una pérdida de tiempo.",2025-05-04
645,493-4-74-303426-7,571,5,"Simplemente perfecto, gran autor.",2021-03-22
646,279-2-90-469981-4,716,2,"Demasiado simple, le falta desarrollo.",2020-06-26
647,426-8-90-175017-2,509,4,"Muy bueno, aunque esperaba un poco más.",2020-09-06
648,225-8-48-190604-7,612,4,"Muy bueno, aunque esperaba un poco más.",2025-07-01
649,432-1-97-924761-3,276,1,Confuso y aburrido.,2021-08-30
650,900-1-85-132797-2,330,3,Tiene puntos interesantes pero no destaca.,2023-08-24
651,984-2-00-326503-8,744,3,"Pasable, lectura ligera.",2025-09-01
652,970-4-98-356327-9,641,1,"Muy malo, una pérdida de tiempo.",2022-05-30
653,054-4-59-318131-4,663,2,"No lo recomendaría, bastante predecible.",2023-10-20
654,246-7-19-306473-4,609,4,"Muy bueno, aunque esperaba un poco más.",2023-07-04
655,037-5-14-164866-5,521,3,"Correcto, aunque esperaba más profundidad.",2021-09-17
656,363-9-15-965866-3,269,1,"Muy malo, una pérdida de tiempo.",2021-01-16
657,549-1-14-065476-8,299,3,"Regular, algunas partes aburridas.",2020-09-02
658,431-6-65-189994-5,776,5,"Magnífico, superó mis expectativas.",2021-05-15
659,286-6-00-999749-3,563,4,"Muy bueno, aunque esperaba un poco más.",2023-03-24
660,201-3-27-968559-3,520,3,"Está bien, pero no me atrapó del todo.",2025-09-09
661,634-3-18-073920-4,359,4,Interesante y bien estructurado.,2021-03-19
662,036-7-33-614247-8,770,3,"Está bien, pero no me atrapó del todo.",2023-02-15
663,228-8-03-260297-5,432,4,"Buen libro, aunque con algunos altibajos.",2020-04-17
664,987-0-37-844576-2,474,1,"No me gustó nada, mal escrito.",2023-01-24
665,435-8-04-711800-1,548,3,"Está bien, pero no me atrapó del todo.",2022-01-13
666,800-3-66-602000-1,780,4,"Muy bueno, aunque esperaba un poco más.",2021-08-04
667,474-3-50-313650-5,294,5,"Una lectura imprescindible, muy bien escrito.",2024-03-20
668,092-2-22-128816-9,665,3,"Regular, algunas partes aburridas.",2024-02-24
669,547-3-88-084274-2,533,5,"Simplemente perfecto, gran autor.",2020-12-13
670,033-9-93-788614-3,360,2,"Demasiado simple, le falta desarrollo.",2020-07-22
671,767-5-48-138666-5,479,4,"Cumple lo que promete, recomendable.",2025-06-12
672,633-0-34-584094-3,653,4,"Buena historia, bien desarrollada.",2022-06-01
673,903-4-77-449958-7,317,3,"Pasable, lectura ligera.",2021-03-30
674,668-4-80-316367-0,699,5,"Magnífico, superó mis expectativas.",2020-07-05
675,265-4-34-759160-8,605,5,"Excelente libro, lo recomiendo totalmente.",2020-02-01
676,796-7-14-803007-4,509,2,No me convenció la trama.,2022-11-12
677,118-5-72-350194-8,536,1,"Muy malo, una pérdida de tiempo.",2025-07-30
678,218-0-66-725279-5,380,2,"No lo recomendaría, bastante predecible.",2022-07-31
679,760-7-90-466005-2,773,3,"Está bien, pero no me atrapó del todo.",2024-06-14
680,927-4-52-380552-2,647,1,De los peores libros que he leído.,2020-11-14
681,019-9-82-477075-3,790,4,"Buen libro, aunque con algunos altibajos.",2024-07-14
682,285-4-43-052361-9,497,1,De los peores libros que he leído.,2020-03-26
683,955-0-80-029069-5,376,5,De lo mejor que he leído últimamente.,2024-01-22
684,740-3-34-450566-9,648,1,"No me gustó nada, mal escrito.",2024-11-19
685,692-8-04-179588-1,611,5,"Excelente libro, lo recomiendo totalmente.",2024-06-09
686,618-6-77-066721-7,548,2,Poco claro en algunos capítulos.,2021-11-19
687,483-1-52-037710-7,723,1,No vale la pena leerlo.,2025-09-19
688,741-9-25-814762-8,558,3,"Regular, algunas partes aburridas.",2022-08-25
689,961-8-03-324260-4,350,3,"Regular, algunas partes aburridas.",2021-12-11
690,791-9-49-235920-2,357,1,"No me gustó nada, mal escrito.",2025-07-16
691,032-4-22-164532-2,778,5,De lo mejor que he leído últimamente.,2023-08-16
692,100-9-97-844298-9,355,4,"Muy bueno, aunque esperaba un poco más.",2025-04-04
693,642-3-82-235522-8,511,3,Tiene puntos interesantes pero no destaca.,2020-08-18
694,257-8-52-352980-6,720,1,Confuso y aburrido.,2025-03-06
695,279-2-90-469981-4,239,1,Confuso y aburrido.,2023-03-21
696,876-9-98-426732-9,293,5,"Simplemente perfecto, gran autor.",2025-09-07
697,499-6-10-779977-9,674,5,"Simplemente perfecto, gran autor.",2020-06-17
698,416-4-60-715006-6,786,2,Poco claro en algunos capítulos.,2025-05-02
699,256-9-51-251628-0,355,1,De los peores libros que he leído.,2021-02-27
700,846-7-64-089779-7,287,5,"Una lectura imprescindible, muy bien escrito.",2020-06-09
701,056-5-13-358508-9,649,4,"Buen libro, aunque con algunos altibajos.",2021-10-12
702,040-5-27-703547-0,582,3,"Pasable, lectura ligera.",2024-08-01
703,260-0-80-598018-7,254,3,"Está bien, pero no me atrapó del todo.",2023-09-12
704,513-7-39-900631-5,772,4,"Buena historia, bien desarrollada.",2022-10-29
705,558-4-91-282642-2,354,3,"Está bien, pero no me atrapó del todo.",2021-08-02
706,334-5-12-982945-1,518,4,Interesante y bien estructurado.,2020-12-13
707,044-4-14-429426-8,773,4,"Buena historia, bien desarrollada.",2021-06-07
708,487-8-64-801051-6,296,4,"Buen libro, aunque con algunos altibajos.",2024-01-22
709,348-0-39-652239-8,572,3,"Regular, algunas partes aburridas.",2022-05-27
710,023-1-74-028106-4,698,2,No me convenció la trama.,2021-07-17
711,913-9-52-150164-0,280,3,"Está bien, pero no me atrapó del todo.",2025-09-10
712,023-2-58-699800-0,740,1,Confuso y aburrido.,2021-06-20
713,710-6-23-591693-2,586,2,No me convenció la trama.,2022-01-10
714,456-3-40-918580-9,649,1,De los peores libros que he leído.,2024-02-01
715,456-6-98-398590-2,655,5,"Magnífico, superó mis expectativas.",2025-01-12
716,968-8-59-342883-1,747,2,Poco claro en algunos capítulos.,2025-04-05
717,863-9-94-541384-6,577,5,De lo mejor que he leído últimamente.,2025-03-06
718,729-8-50-230506-5,592,5,"Simplemente perfecto, gran autor.",2024-09-10
719,186-7-06-632016-4,405,5,"Una lectura imprescindible, muy bien escrito.",2022-10-21
720,018-2-04-339718-4,693,3,Tiene puntos interesantes pero no destaca.,2021-02-24
721,762-1-41-635021-8,328,3,"Está bien, pero no me atrapó del todo.",2021-10-18
722,902-0-38-540700-4,661,5,"Una lectura imprescindible, muy bien escrito.",2024-11-26
723,397-3-96-417899-3,428,4,"Buena historia, bien desarrollada.",2020-04-19
724,211-1-52-927099-2,255,4,"Buen libro, aunque con algunos altibajos.",2024-03-11
725,490-3-76-474769-2,596,1,Confuso y aburrido.,2022-07-08
726,779-0-71-416335-3,527,1,Confuso y aburrido.,2021-08-21
727,413-0-75-384185-1,240,3,"Pasable, lectura ligera.",2021-07-22
728,043-8-93-531732-8,660,5,"Excelente libro, lo recomiendo totalmente.",2020-11-20
729,267-6-58-617932-4,463,2,No me convenció la trama.,2024-09-29
730,638-8-21-458414-6,496,2,Poco claro en algunos capítulos.,2021-05-14
731,900-4-89-646528-9,445,4,"Buen libro, aunque con algunos altibajos.",2025-02-15
732,446-8-34-146511-1,314,4,"Buen libro, aunque con algunos altibajos.",2020-03-08
733,392-2-63-030783-0,789,2,No me convenció la trama.,2023-04-08
734,687-6-19-075056-8,202,5,"Magnífico, superó mis expectativas.",2022-09-12
735,207-6-43-593256-6,627,2,"Flojo, esperaba más del autor.",2024-01-17
736,960-6-33-991297-0,739,5,"Simplemente perfecto, gran autor.",2025-09-10
737,797-8-08-784178-2,221,4,"Cumple lo que promete, recomendable.",2020-06-27
738,514-4-66-199541-3,583,3,"Está bien, pero no me atrapó del todo.",2024-01-02
739,042-2-71-133228-5,554,2,"Flojo, esperaba más del autor.",2023-09-23
740,457-5-98-875921-0,246,3,Tiene puntos interesantes pero no destaca.,2023-10-18
741,454-6-15-749325-9,676,4,Interesante y bien estructurado.,2021-07-06
742,685-3-89-097283-4,669,1,Confuso y aburrido.,2022-04-05
743,075-4-52-798524-0,405,1,Confuso y aburrido.,2023-06-24
744,946-1-25-798123-7,608,5,De lo mejor que he leído últimamente.,2022-11-03
745,795-4-53-817921-5,396,3,"Correcto, aunque esperaba más profundidad.",2020-07-14
